id,order,le_type,as_type,title,description,date start,date finish,list of domain ids,image file name,video_url,caption
4493,,AS,DI,"<p>What Makes a Name?</p>
","<p>Students discuss what elements make up names, examine written format of names, and discover patterns to use in sorting and classifying names.</p>
",,,1|3,,,
4494,,LE,,"<p>Letters in Our Names</p>
","<p>Students demonstrate letter recognition and identification abilities by identifying the letters that make up their names.</p>
",,,1|3,,,
4495,,LE,,"<p>Names in Our Classroom</p>
","<p>Students work independently to write their names using natural materials to construct the letters. They then spell and read their names aloud.</p>
",,,1|7,,,
4496,,LE,,"<p>Chanting and Singing Name Songs</p>
","<p>Students move and vocalize to the tune of name-based songs and incorporate letter/sound associations and repetition to read and spell names.</p>
",,,1|3|6|8,,,
4497,,LE,,"<p>Names Have Meaning</p>
","<p>Students participate in read-alouds from&nbsp;<em>My Name Is&nbsp;Maria Isabel</em>&nbsp;by Alma Ada and discover names have particular meanings and often have family history associated with them.</p>
",,,1,,,
4498,,AS,FO,"<p>What If . . . ?</p>
","<p>During this formative assessment, students demonstrate their understanding of how we use names to identify people, places, and things; how naming gives objects life and animation; and the power of names.</p>
",,,1,,,
4499,,LE,,"<p>The Name Game</p>
","<p>Working in pairs, students use visual aids and their knowledge of letter names and sounds to spell each other&rsquo;s names.</p>
",,,1|7,,,
4500,,LE,,"<p>Identifying and Sorting Letters by Name</p>
","<p>Using letters of various fonts and sizes, students work in small groups to identify each letter by name and practice voicing the sound associated with each letter.</p>
",,,1,,,
4501,,AS,FO,"<p>Reading the Names</p>
","<p>Working from trays of letters and cards containing the names of two classmates, students use hand signals to express their level of understanding of the task. Once the task is understood, students read the names aloud, identify the two classmates, and use the tray of letters to spell out the names.</p>
",,,1|3|7,,,
4502,,LE,,"<p>Writing and Family History</p>
","<p>Students question parents (or caregivers) about the origins of their personal names. They participate in a group discussion about their own names and the reason for their individual names.</p>
",,,1|3|7,,,
4503,,LE,,"<p>Names Through Culture</p>
","<p>Students develop further respect for the power of names by exploring versions of their names, along with common names from other cultures.</p>
",,,1|11|12|6,,,
4504,,AS,SU,"<p>Naming&nbsp;our Surroundings</p>
","<p>After learning about how names help people organize and make sense of their surroundings, students synthesize their knowledge of systems and naming by assigning names to various indoor and outdoor areas in an elementary school.</p>
",,,1,,,
4505,,AS,DI,"<p>Reading for Information</p>
","<p>Students engage in a&nbsp;read-aloud from&nbsp;<em>Tell Me,&nbsp;Tree: All About Trees for Kids&nbsp;</em>by Gail Gibbons. In pairs, they share&nbsp;two facts they already&nbsp;know about trees, and then work independently to illustrate three new facts or&nbsp;details they learn&nbsp;after listening to&nbsp;the book.</p>
",,,1|4,,,
4506,,LE,,"<p>Vocabulary for Patterns and Cycles</p>
","<p>Students investigate and collect&nbsp;vocabulary associated with the unit from texts, websites, and magazines, and then apply pattern words in discussions, writing, and pictures.</p>
",,,1|4|7,,,
4507,,AS,FO,"<p>Nature Journals</p>
","<p>Students are exposed to the nature journals of Charles Darwin and John Muir and examine different ways to document their own observations and revise and edit their journal entries.</p>
",,,1|4|7,,,
4508,,LE,,"<p>Comparing and Contrasting Trees</p>
","<p>Students learn about various biomes and the trees that are common to them&mdash;for example, the two main types of trees found in northeastern North America:&nbsp;deciduous and coniferous and offer suggestions to complete a large classroom Venn diagram that compares the similarities and differences between the deciduous and coniferous trees.</p>
",,,1|4,,,
4509,,LE,,"<p>Writer&rsquo;s Workshop Pattern of Living Things</p>
","<p>Students choose an organism such as a monarch butterfly, honeybee, or a particular tree and create an informational book&nbsp;that uses text and visuals to describe the&nbsp;cycles and patterns of that organism.</p>
",,,1|4,,,
4510,,LE,,"<p>Read-Aloud&nbsp;Mentors: Rachel Carson</p>
","<p>After&nbsp;participating&nbsp;in a read-aloud of&nbsp;<em>Rachel Carson and Her Book That Changed the World&nbsp;</em>by Laurie Lawlor, students&nbsp;participate in a shared writing experience&nbsp;to chart their ideas about ways to help the planet. The ideas are&nbsp;assembled&nbsp;into a&nbsp;class book about how individuals can contribute to saving Earth&rsquo;s&nbsp;natural habitats.</p>
",,,1|4,,,
4511,,AS,SU,"<p>Collage Project</p>
","<p>In the Cultural History Summative Assessment: Trees, Butterflies, and Bees Collage (CH_G1_U1_11_AS), students create a collage that reflects what they have learned. In this assessment, students use the unit&rsquo;s teachings to create a narrative script that they record as an audio track to accompany the collage.</p>
",,,1|4|6,,,
4512,,LE,,"<p>Tools Word Web</p>
","<p>To initiate this unit, students work collaboratively to create word webs relating tools to the jobs they help facilitate, thereby&nbsp;establishing the idea that tools are extensions of the body.</p>
",,,1|7,,,
4513,,AS,FO,"<p>Writing Tools: Cultural History Journals</p>
","<p>Students access prior knowledge to answer guiding questions about tools and&nbsp;document their answers in their Cultural History journals, where they record information throughout the unit to serve as a record of their understanding.&nbsp;Their answers are revisited at the end of the unit in the summative assessment project.</p>
",,,1,,,
4514,,LE,,"<p>History of Writing Implements</p>
","<p>This learning experience begins an investigation of the history of writing tools and implements. Students create a timeline of writing tools and written text and investigate their own progression from crayons to pencils to keyboard.&nbsp;</p>
",,,1|7,,,
4515,,LE,,"<p>History of Text and Reading Materials</p>
","<p>Students explore the history of books and other reading materials to see how they have changed over time and add the information to the timeline they created in the previous learning experience.</p>
",,,1|3|7,,,
4516,,LE,,"<p>Researching Tools</p>
","<p>Students collect research information&nbsp;in preparation for writing a research&nbsp;paper about&nbsp;a specific historical&nbsp;tool.</p>
",,,1|3,,,
4517,,LE,,"<p>Writing About the Tool</p>
","<p>Using research notes collected from the previous learning experience, students write paragraphs about their individually selected historical tools.</p>
",,,1,,,
4518,,AS,SU,"<p>Designing and Creating Tools</p>
","<p>Students complete their unit of study about&nbsp;tools by designing, building, and assessing a tool of their own creation.</p>
",,,1|4|7,,,
4519,,LE,,"<p>Read-Aloud and Journaling</p>
","<p>Students listen to books about the water and rock cycles. In their journals, they independently write and illustrate information gleaned from the books and discussion.</p>
",,,1,,,
4520,,LE,,"<p>Comparing Water Cycle and Rock Cycle</p>
","<p>In Cultural History, students observe a boiling pot of water and compare the stages of this constructed cycle to that of the natural water cycle.&nbsp;In this learning experience, students work in small groups to complete a Venn diagram comparing&nbsp;the water cycle and the rock cycle.</p>
",,,1|4,,,
4521,,AS,FO,"<p>Concept Map</p>
","<p>In this learning experience, students create concepts maps in their journals for the water cycle and rock cycle. The concept maps provide a record of students&rsquo; understanding and indicate which students would benefit from further clarification on the subject.</p>
",,,1|4,,,
4522,,LE,,"<p>Vocabulary and Water Cycle/Rock Cycle</p>
","<p>In this learning experience, students are introduced to vocabulary words that relate to the unit. They write the vocabulary words in their journals, including an illustration and written definition.</p>
",,,1|4,,,
4523,,LE,,"<p>Compare and Contrast</p>
","<p>After listening to read-alouds of&nbsp;<em>If You Find a Rock&nbsp;</em>and&nbsp;<em>Everybody Needs a Rock,</em>students compare and contrast&nbsp;the information found in each&nbsp;book. Students each select a&nbsp;rock and describe it in an original poem.</p>
",,,1|4,,,
4524,,LE,,"<p>Transforming Words to Movement</p>
","<p>Students interpret the poems from&nbsp;<em>Water Dance</em>&nbsp;by Thomas Locker&nbsp;through an interpretive dance performance, using original artworks as a backdrop.</p>
",,,1|4|6,,,
4525,,AS,SU,"<p>Cycle Review</p>
","<p>Students use information gained throughout the unit to create an informational book about either the rock cycle or the water cycle.</p>
",,,1|4,,,
4526,,LE,,"<p>Brainstorm and Identify Recycling</p>
","<p>After students generate ideas on why they should be Earth&rsquo;s&nbsp;caretakers, they design an informational presentation about the importance of recycling.</p>
",,,1|4|5|7,,,
4527,,AS,FO,"<p>Journaling</p>
","<p>Students record information in their journals as a record of their understanding of their reading and writing activities and set goals for their performance.</p>
",,,1,,,
4528,,LE,,"<p>Read-Aloud Comparison<em>:&nbsp;The Lorax&nbsp;and&nbsp;A River Ran Wild</em></p>
","<p>Using two environmental read-alouds as mentor texts, each student writes a short story with a human consumption or environmental conservation dilemma that the main character solves.</p>
",,,1|4|7,,,
4529,,LE,,"<p>Questioning Garbage</p>
","<p>After listening to the book,&nbsp;<em>Where Does the Garbage Go?,</em>&nbsp;students track garbage items through a cycle of use, disposal, and recycling. They share their findings by making a poster of the cycle of one piece of recycled garbage.</p>
",,,1|4|7,,,
4530,,LE,,"<p>Read-Aloud and Recycle: <em>Jen Green&rsquo;s&nbsp;Why Should I Recycle?</em></p>
","<p>Students participate in a read-aloud of Jen Green&rsquo;s,&nbsp;<em>Why Should I Recycle?,&nbsp;</em>and then take home a recyclable item to discuss with their families. An ongoing discussion of recycling generates new entries for the documentation board.</p>
",,,1|4,,,
4531,,LE,,"<p>Recycling Paper Project</p>
","<p>Students create a book about the importance of recycling and conservation using paper they have made by recycling used scrap paper.</p>
",,,1|4|7,,,
4532,,LE,,"<p>Public Service Ad</p>
","<p>Students create and film a public service ad about why it is best to take steps now to conserve the environment for future generations.</p>
",,,1|4|5|7|6,,,
4533,,AS,SU,"<p>Reduce, Reuse, Recycle Performance</p>
","<p>As a culminating event, students perform in an assembly in which they explain the process of reduce, reuse, and recycle.</p>
",,,1|4|3|5|7|6,,,
4534,,AS,DI,"<p>Self-Portrait</p>
","<p>At the beginning of Unit 1 in Visual Arts, each student draws a self-portrait that is revisited at the end of Unit 3 as a part of the year&rsquo;s summative assessment. The class listens to a read-aloud and then compares and contrasts facial characteristics, using mirrors to study their faces. Using their observations, students make outlines of their self-portraits.</p>
",,,10,,,
4535,,LE,,"<p>What Is a Collage?</p>
","<p>Students learn about collage by viewing the work of two master collage artists. After comparing the work of the collage artists, students create collections of collage materials by&nbsp;sorting&nbsp;a variety of papers. They will use their collections to create their own self-portrait collages.</p>
",,,10,,,
4536,,LE,,"<p>Collage Self-Portrait</p>
","<p>Students prepare a variety of colored papers of all shapes and sizes for their own self-portrait collages. They assemble textured and colored paper shapes to highlight their own unique characteristics.</p>
",,,10,,,
4537,,LE,,"<p>Spore Printing</p>
","<p>In conjunction with their Science studies of spores and fungi, students make mushroom spore prints, fern ink prints, and impressions of ferns in clay slabs. Students use the clay slabs to mimic fossils in their archaeological dig later in the unit.</p>
",,,1|10|4,,,
4538,,LE,,"<p>Bacteria Collages</p>
","<p>Students observe bacteria under a microscope and make observational drawings. They use their drawings to create a collage. The collages are incorporated into the geological timeline later in the unit.</p>
",,,1|4,,,
4539,,LE,,"<p>Artifacts for an Archaeological Dig</p>
","<p>In conjunction with Science class, students make beads, pinch pots, trilobites, nautilus shells, and fern-print fossils from the earlier learning experience for an archaeological dig.</p>
",,,1|4,,,
4540,,LE,,"<p>Collage Illustrations for a Geological Timeline</p>
","<p>Students establish a timeline of the Cambrian, Jurassic, and Triassic periods that includes the time periods&rsquo; flora&nbsp;and fauna.&nbsp;They create their artwork in the style of Henri Matisse&rsquo;s paper cutout collages. The resulting timeline collage is a classroom learning tool that can be used during this final unit.</p>
",,,1|10|4|3,,,
4541,,LE,,"<p>Clay Dinosaurs</p>
","<p>In conjunction with Cultural History, students create clay dinosaur&nbsp;sculptures. Students then build a natural habitat for their dinosaurs and display their work in the Cultural History classroom.</p>
",,,1|10|4,,,
4542,,AS,SU,"<p>Understanding of Unit Goals</p>
","<p>Students and the teacher review sketchbooks and assignments for the unit, assessing students on their understanding of unit skills and concepts.</p>
",,,1|10|4|3,,,
4543,,AS,FO,"<p>Sketchbook</p>
","<p>Students reflect on and discuss their sketchbook work in a conference with the teacher. Students are guided in their review, and they evaluate their progress, challenges, and goals as artists.</p>
",,,1|10,,,
4544,,AS,FO,"<p>Sketchbook</p>
","<p>Students review their sketchbooks and discuss their progress and challenges in one-on-one teacher conferences during the unit.</p>
",,,1|10|4,,,
4545,,LE,,"<p>Observational Drawing:&nbsp;Charles Darwin and Maria Sibylla Merian&nbsp;</p>
","<p>Students explore the work of Charles Darwin and Maria Sibylla Merian, naturalists who were also skilled artists. They learn how the detailed observation in these naturalists&rsquo; artwork advanced scientific knowledge. From their explorations, students learn to create their own detailed observational drawings.</p>
",,,1|10|4|3,,,
4546,,LE,,"<p>Naturalist&nbsp;Artists: Realism to Abstraction in Print</p>
","<p>Students explore the life and artwork of John James Audubon and use hand&nbsp;lenses to draw their own detailed illustrations of plant and animal specimens. They use their drawings as references to produce collagraph prints, and they learn about printmaking and limited editions.</p>
",,,1|10|4,,,
4547,,LE,,"<p>Imaginary Animals: Realism to Abstraction in Clay</p>
","<p>Students apply their knowledge of animals and adaptation to create their own imaginary animals. They sketch them, model them in clay,&nbsp;and describe them in an essay.</p>
",,,1|10|4|3,,,
4548,,AS,SU,"<p>Understanding the Unit Goals</p>
","<p>Students meet with the teacher to review their work in the unit. Their work is assessed using a rubric.</p>
",,,1|10|4|3,,,
4549,,LE,,"<p>Early Human Art</p>
","<p>Students explore resources that describe the Chauvet cave paintings. They observe the early human art in the Chauvet cave and learn why these paintings are significant in both artistic style and content. Students observe and take notes, and then discuss the imagery, drawing techniques, and colors used to create the paintings in the cave.</p>
",,,1|10|4|5,,,
4550,,LE,,"<p>Gesture Drawings</p>
","<p>Students compare detailed observational drawing and gesture drawing techniques, and then continue by observing and practicing the gesture drawing technique. They take turns posing for the art class while the remainder of students create a gesture drawing of the posing figure.</p>
",,,1|10|4|3,,,
4551,,LE,,"<p>Cave Paintings</p>
","<p>Students create large drawings of wild animals on paper attached to the undersides of tables to experience the artistic challenges similar to those of the early Lascaux and Chauvet cave artists. They use various charcoals and natural color pastels to create their drawings in emulation of these cave paintings.</p>
",,,1|10|4|3,,,
4552,,LE,,"<p>Sgraffito Cave Paintings</p>
","<p>Students explore the engravings in the Chauvet and Lascaux caves. They learn that the technique of engraving into rock is similar to the art technique sgraffito. After making sketches of cave engravings and their own sgraffito designs, students use their designs in making terra cotta slab art with the sgraffito technique.</p>
",,,1|10|4|3,,,
4553,,LE,,"<p>Cro-Magnon Jewelry</p>
","<p>In this three-part learning experience, students begin by listening and viewing the story&nbsp;<em>One Small Blue Bead</em>&nbsp;by Byrd Baylor. They learn about ancient artifacts that are evidence of early human art by exploring the resources on the Smithsonian&rsquo;s webpages. After taking inspiration from the story and their exploration of artifacts, students create their own bead necklaces and write a fictional story about who might have worn it.</p>
",,,1|10|4|3,,,
4554,,AS,FO,"<p>Sketchbooks</p>
","<p>Students reflect and discuss their sketchbook work in a conference with the teacher. Students are guided in their review, and they evaluate their progress, challenges, and goals as an artist.</p>
",,,1|10|4|3|5,,,
4555,,AS,SU,"<p>Early Humans</p>
","<p>In a conference with the teacher, students review their works of art, participation, written reflections, and their challenges and accomplishments during the unit.&nbsp;Then as an end-of-the-year self-assessment, each student creates a new self-portrait to compare to the self-portrait they created in Unit 1. In their comparison, students note their artistic achievements and the concepts they learned in grade 3 Visual Arts.</p>
",,,1|10|4|3|5,,,
4556,,AS,FO,"<p>Riverine Art and Artifacts Sketchbook</p>
","<p>Throughout the year, students use their sketchbook as a process journal for their learning experiences in Visual Arts. Students use a sketchbook rubric at the end of each learning experience to monitor their own progress, challenges, and accomplishments.</p>
",,,1,,,
4557,,AS,DI,"<p>Self-Portrait, Cuneiform Tablets, and Cylinder Seals</p>
","<p>Students draw self-portraits and list their artistic goals for the coming school year. The self-portraits and goals are placed in students&rsquo; portfolios for review in Unit 3 at the end of the school year. Students share their current understanding of beginning writing forms, drawing from their learning about cuneiform tablets and cylinder seals.</p>
",,,1,,,
4558,,LE,,"<p>Understanding Cuneiform Tablets</p>
","<p>Students examine the origins of writing and symbolism and learn about cuneiform symbols and number symbols.</p>
",,,1|10|3,,,
4559,,LE,,"<p>Creating Cuneiform Tablets</p>
","<p>Students act the roles of ancient Sumerians. They partner with other students&nbsp;to&nbsp;create a cuneiform tablet in clay documenting sales, barters, and exchanges.</p>
",,,1|3,,,
4560,,LE,,"<p>Peace Symbols</p>
","<p>In response to the poem &ldquo;Lament to the Spirit of War&quot; by the Sumerian poet/priestess Enheduanna, students investigate universal and world peace symbols and then create their own peace symbol rubber stamps.</p>
",,,1|10,,,
4561,,LE,,"<p>Mesopotamian Lion Hunt Panels</p>
","<p>Students view artifacts and a video from the British Museum about the famous bas-relief Assyrian Lion Hunt panels.</p>
",,,1,,,
4562,,LE,,"<p>Lion Hunt Panels</p>
","<p>After studying the Assyrian Lion Hunt panels from the British Museum, students create drawings and a clay bas-relief of a lion hunt.</p>
",,,1,,,
4563,,LE,,"<p>Mesopotamian Cylinder Seals</p>
","<p>After learning about the first printing press&mdash;the ancient Mesopotamian cylinder seals&mdash;students research images and sketch their designs in their notebooks.</p>
",,,1|5,,,
4564,,LE,,"<p>Personal Cylinder Seals</p>
","<p>In this unit-culminating project, students use their unit learning and their personal knowledge to create their own personal cylinder seals in clay. They present their seals and explain their symbols to the class.</p>
",,,1,,,
4565,,AS,SU,"<p>Understanding of Unit Goals</p>
","<p>At the end of the unit, students&rsquo; progress, challenges, and achievement during all of the learning experiences and projects in the unit is evaluated with a unit-specific rubric.</p>
",,,1|10|3,,,
4566,,AS,FO,"<p>Sketchbook</p>
","<p>Throughout the year, students use their sketchbook as a process journal for their learning experiences in Visual Arts. Their progress, challenges, and accomplishments in the unit are assessed through the sketchbook and its accompanying rubric.</p>
",,,1,,,
4567,,LE,,"<p>Egyptian Afterlife Paintings</p>
","<p>In their study of Egypt, students look at the content, symbolism, and style of Egyptian painting as well as the Egyptian idea of the afterlife. They then create their own compositions on papyrus that they make in class, depicting themselves as Egyptians and including imagery and hieroglyphic symbols of the things they choose to carry with them to the afterlife.</p>
",,,1,,,
4568,,LE,,"<p>Egyptian Profile Paintings</p>
","<p>Studying the stylistic conventions in use in Egyptian portraiture, students create profiles on papyrus that feature one frontal eye along with a variety of costuming and personal decoration. They translate their names into hieroglyphics and enclose them in cartouches.</p>
",,,1,,,
4569,,AS,SU,"<p>Canopic Jars</p>
","<p>Students study the content, symbolism, and style of Egyptian art, learning about burial practices and ancient Egyptian examples of canopic jars. They then hand-build, fire, and paint their own clay canopic jars. They also write a reflection on the experience and are assessed with the Canopic Jars rubric.</p>
",,,1|4,,,
4570,,AS,FO,"<p>Sketchbooks</p>
","<p>In one-on-one sessions&nbsp;with their teacher, students look over their sketchbooks to review what they&nbsp;have learned so far and to determine whether there are any gaps or errors in their understanding of the material. Students&nbsp;also use these sketchbook review sessions to evaluate their progress as visual artists, discuss their artistic strengths&nbsp;and challenges, and set personal goals.</p>
",,,1,,,
4571,,LE,,"<p>Indus Valley&nbsp;and Chinese Tomb&nbsp;Art</p>
","<p>Students view art and artifacts of the Indus Valley and ancient Chinese Tomb art in books, on websites, and via other resources&nbsp;to gain an understanding of the types of jewelry and other objects that were buried with people from different levels of these societies. As they take notes and sketch images and designs of these artifacts in their sketchbooks, they are encouraged to speculate about how these burial sites reflect the societal organization of these cultures.</p>
",,,1|10,,,
4572,,LE,,"<p>Indus Valley Jewelry</p>
","<p>After viewing and learning about jewelry and other artifacts found in Indus Valley burial sites, students create funereal bracelets and necklaces made of paper-clay&nbsp;beads&nbsp;and also use the paper-clay to produce other fabricated artifacts.</p>
",,,1|10|3,,,
4573,,LE,,"<p>Harappan Seals</p>
","<p>Students view the clay seals of the ancient Harappan culture of the&nbsp;Indus&nbsp;Valley&nbsp;and discuss their possible uses. Then they make their own seals by carving designs of their own creation into soft rubber blocks,&nbsp;pressing those designs into clay and then firing the clay seals.</p>
",,,1|3|5|8,,,
4575,,LE,,"<p>Chinese Tomb Sculpture</p>
","<p>In this learning experience, students discover how people in ancient China&nbsp;viewed&nbsp;life after death&nbsp;and what they buried with their dead based on these beliefs.&nbsp;Next they consider what they might want to be buried with were they to share these views&nbsp;of an afterlife. They sketch images in preparation for modeling a sculpture of this object, person, or animal. Then, modeling clay, they turn their two-dimensional drawings into a three-dimensional form.</p>
",,,1|10|4|3|5,,,
4576,,AS,SU,"<p>Understanding of Unit Goals</p>
","<p>In this summative assessment, students and teacher meet in one-on-one sessions to review the student&rsquo;s unit work. They also discuss the student&rsquo;s participation and learning throughout the unit.</p>
",,,1|10|4|3|8,,,
4577,,LE,,"<p>Calligraphic Design</p>
","<p>Students study, analyze, and practice Arabic calligraphy&nbsp;by examining images of calligraphic design in Islamic art and applying their skill to forming Arabic letters in their sketchbooks.</p>
",,,1,,,
4578,,LE,,"<p>Geometric Design</p>
","<p>Students study, analyze, and practice Islamic geometric design&nbsp;with the understanding that human and divine forms cannot be depicted realistically through art.&nbsp;Students use paper, a compass, and other tools to create unique patterns found in Islamic art.</p>
",,,1|3,,,
4579,,AS,FO,"<p>Floral Patterning and Identity Poster Project</p>
","<p>Students study, analyze, and practice Islamic floral patterning, or arabesque,&nbsp;and apply what they have learned in Islamic calligraphic design, geometric design, and floral patterning to the creation of an identity poster.</p>
",,,1|3,,,
4580,,LE,,"<p>Cindy Sherman Portraits</p>
","<p>Students analyze and reflect upon portraits made by Cindy Sherman and study her use of cinematic narrative in self-portrait photography.</p>
",,,5|6,,,
4582,,AS,FO,"<p>Illuminated Letters</p>
","<p>After viewing and analyzing examples of medieval illuminated manuscripts, students practice calligraphy and use gold leaf to create their own illuminated manuscript pages in conjunction with a Performing Arts integrated project.</p>
",,,1|10|3|5,,,
4583,,AS,SU,"<p>Guild Project</p>
","<p>Students review the media used to decorate medieval cathedrals, including tapestries, stained glass, sculptures, mosaics, and stone carvings. They then choose a medium to learn from a master craftsperson and, with that individual&rsquo;s guidance, create a work of art that is typical of the medieval time period. Finally, they share their work in a group critique.​</p>
",,,1|4|3|5,,,
4584,,LE,,"<p>Medieval Africa Map</p>
","<p>To familiarize themselves with the topography, trade routes, and important cities&nbsp;of the region, students collaborate to create a large map of West Africa.</p>
",,,1,,,
4585,,LE,,"<p>African Sculpture and Textiles</p>
","<p>Students view, analyze, and discuss African&nbsp;sculpture and textiles.</p>
",,,1,,,
4586,,AS,FO,"<p>African Mud&nbsp;Cloth</p>
","<p>Students make African mud-cloth designs on textiles or paper.</p>
",,,1,,,
4587,,LE,,"<p>African Dance, Chanting, and Udu Drums</p>
","<p>After viewing and experiencing African dance and chanting, students study the role of drumming in the African oral tradition to create and perform on Udu drums.</p>
",,,1|6,,,
4589,,AS,DI,"<p>Self-Portrait</p>
","<p>At the beginning of Unit 1 Visual Arts, each student draws a self-portrait in his or her sketchbook that is then revisited at the end of Unit 3 as a part of the year&rsquo;s summative assessment.</p>
",,,1|10|3,,,
4590,,AS,FO,"<p>Sketchbooks</p>
","<p>Throughout the year, students use their sketchbook as a process journal for their learning experiences in Visual Arts. The sketchbook is reviewed at the end of each learning experience to monitor student progress, challenges, and accomplishments, and is a part of the unit summative assessment.</p>
",,,1|10|4|3|5,,,
4591,,LE,,"<p>Origins of Clay</p>
","<p>Students learn about the origins of clay and begin to understand clay as an art medium by exploring clay in different forms, including wet, air-dry, bisque-fired, and glazed. Students compare these forms of clay to their prior experiences with play dough and salt dough and rethink their previous conceptions about the origins of clay.</p>
",,,1|10,,,
4592,,LE,,"<p>Clay Explorations</p>
","<p>Students explore the properties of the clay by rolling, coiling, and flattening it without focusing on the creation of a final work of art. After the exploration with clay, students brainstorm words to describe the clay using their senses and create a chart of these describing words.</p>
",,,1|10,,,
4593,,LE,,"<p>Create a Planting Vessel</p>
","<p>In conjunction with their studies of seed germination in science, the teacher reads aloud<em>The Pot That Juan Built</em>&nbsp;to prepare students to craft a planting vessel. Then students make a pinch pot out of clay, using the most basic methodology for shaping a pot.</p>
",,,1|10|4,,,
4594,,AS,FO,"<p>Clay Reflection</p>
","<p>Students reflect on their new clay-working skills in a conference with the teacher. They discuss the transformation of their work from an amorphous shape of wet clay to a purposeful object created by hand rolling and molding the clay medium.</p>
",,,1|10|4,,,
4595,,LE,,"<p>Ink Blot Organisms</p>
","<p>Students explore symmetry and color. They mix primary colors to create secondary colors. They explore symmetry by dripping colors on half of a sheet of paper, then folding the other half over and creating a mirror image. Students look for recognizable animals in their inkblots, and then use water-based markers to complete them.</p>
",,,1|10|3,,,
4596,,AS,FO,"<p>Role of Symmetry</p>
","<p>Students identify and draw classroom objects that have vertical and horizontal lines of symmetry. They review and reflect on their understanding of symmetry in a conference with the teacher.</p>
",,,10|3,,,
4597,,LE,,"<p>Origins of Insects</p>
","<p>Students study and take inspiration from the work of Maria Sibylla Merian. Students listen to the story&nbsp;<em>Summer Birds: The Butterflies of Maria Merian</em>, and view the website from the J. Paul Getty Museum that describes Merian&rsquo;s significant contributions to science and art in the late 1600s.</p>
",,,1|10|4,,,
4598,,LE,,"<p>Observational Drawings of Insects</p>
","<p>Students create their own observational drawings of insects in the spirit of Merian&rsquo;s work. Students explore the natural areas on campus and collect insects as they explore. Afterward, students make observational drawings of the insects in their sketchbooks.</p>
",,,1|4|3,,,
4599,,LE,,"<p>Clay Insects</p>
","<p>Students use their observational drawings of insects to create an insect from clay. Students are challenged to apply their understanding of shape and symmetry as they use two-dimensional drawings to create a three-dimensional clay sculpture.</p>
",,,1|3,,,
4600,,LE,,"<p>Reading of The Fire Children: A West African Creation Tale</p>
","<p>Students listen to the story&nbsp;<em>The Fire Children: A West African Creation Tale</em>. After the reading, students discuss how the story describes the creation and beginnings of humans, and compare the story to other creation myths they are studying in Cultural History.</p>
",,,1|10|5,,,
4601,,AS,SU,"<p>Self-Portraits in Clay</p>
","<p>Students create a self-portrait in clay as part of the summative assessment for the unit. In a conference with the teacher, each student reflects on his or her work and accomplishments in this final assessment.</p>
",,,1|10|3,,,
4602,,LE,,"<p>Creating a Nursery</p>
","<p>In Cultural History, students make rice-and-stocking babies. To integrate with Cultural History, students use recycled materials to make a nursery and complete the facial details for their rice-and-stocking babies.</p>
",,,1|3,,,
4603,,AS,FO,"<p>Sketchbooks</p>
","<p>Throughout the year, students use their sketchbook as a process journal for their learning experiences in Visual Arts. The sketchbook is reviewed at the end of each learning experience to monitor student progress, challenges, and accomplishments, and is a part of the unit summative assessment.</p>
",,,1|10|4,,,
4604,,LE,,"<p>Warm and Cool Color Centers</p>
","<p>Students begin to consider the difference between warm and cool colors. They explore how Claude Monet used color to portray various times of days and the four seasons in his many Rouen Cathedral paintings. They continue their investigation of cool and warm colors in scratch paintings and light interaction by overlaying colored acetates on an overhead projector. Students explore mixing primary colors to create secondary colors by constructing a basic color wheel and overlaying primary-colored tissue paper to create secondary colors.</p>
",,,1|10|4,,,
4605,,AS,DI,"<p>Winter and Summer Colors</p>
","<p>The class discusses the seasons, the colors they associate with each season, and how they feel during the different seasons. Students learn that warm seasons and cool seasons have colors associated with them. Students write&nbsp;<em>winter</em>&nbsp;on one page of their sketchbooks, and&nbsp;<em>summer</em>&nbsp;on another. They classify their colored pencils, crayons, or oil pastels into these two groups, and use them to draw a &ldquo;summer&rdquo; design and a &ldquo;winter&rdquo; design.</p>
",,,1|10,,,
4606,,LE,,"<p>Observation of Seasonal Landscapes</p>
","<p>The class reads the picture book&nbsp;<em>Sky Tree</em>&nbsp;by Thomas Locker. They look at works of art, particularly Monet&rsquo;s haystack, the Japanese bridge, and the poplar series that show the same landscape in different seasons. After a demonstration of watercolor painting technique, students create four paintings of the same tree, one for each season. As an extension, the class goes for a walk to observe seasonal changes.</p>
",,,1|10|4,,,
4607,,LE,,"<p>Seasonal Landscapes</p>
","<p>Students learn about the important components of a landscape. They compare the colors of their tree paintings from the previous learning experience to Monet&rsquo;s seasonal paintings, and review warm and cool colors&rsquo; descriptive words. Students create their own seasonal landscapes using water-soluble oil pastels, with an emphasis on warm and cool colors.</p>
",,,1|10|4,,,
4608,,AS,FO,"<p>Warm and Cool Squares</p>
","<p>Students sort precut warm- and cool-colored paper squares, and glue them into their sketchbooks.</p>
",,,10,,,
4609,,LE,,"<p>Winter Trees</p>
","<p>Students use a new masking tape technique to create a winter landscape using the masking technique, cool colors, and glitter to represent snow. They apply masking tape to brown paper to make a tree, then paint a blue sky and snow over the masked trees. Once dried, they carefully remove the tape to reveal a stunning winter scene. As a final step, students add a dusting of glitter for an icy effect.</p>
",,,1|10|4,,,
